group,name,Income,2024 score,2016,2017,2018,2019,2020,2021,2022,2023,2024,Since 2016
Latin America & Caribbean,Chile,High,89.37916666666665,79.68125,78.92166666666668,80.50458333333333,82.43708333333333,82.64208333333333,86.44208333333334,86.10708333333332,86.81708333333333,89.37916666666665,9.697916666666643
Latin America & Caribbean,Mexico,Upper middle,90.95041666666668,79.68750000000001,87.71416666666666,86.43166666666667,86.17041666666665,86.33041666666668,89.12083333333334,88.97458333333333,91.63833333333336,90.95041666666668,11.26291666666667
Latin America & Caribbean,Costa Rica,High,90.98458333333332,78.36625000000001,84.24666666666667,83.35916666666667,85.77791666666667,87.99625,91.00416666666666,90.09458333333332,89.17208333333335,90.98458333333332,12.618333333333311
Latin America & Caribbean,Aruba,High,,,,,,,,,,,
Latin America & Caribbean,British Virgin Islands,High,,,,,,,,,,,
Latin America & Caribbean,Cayman Islands,High,,,,,,,,,,,
Latin America & Caribbean,Cuba,Upper middle,,,,,,,,,,,
Latin America & Caribbean,Curacao,High,,,,,,,,,,,
Latin America & Caribbean,Puerto Rico (US),High,,,,,,,,,,,
Latin America & Caribbean,Sint Maarten (Dutch part),High,,,,,,,,,,,
Latin America & Caribbean,St. Martin (French part),High,,,,,,,,,,,
Latin America & Caribbean,Turks and Caicos Islands,High,,,,,,,,,,,
Latin America & Caribbean,Virgin Islands (U.S.),High,,,,,,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",Syrian Arab Republic,Low,32.41750000000001,,24.107916666666668,23.988750000000003,24.11375,25.11083333333334,26.74708333333334,28.262916666666666,31.837916666666665,32.41750000000001,
"Middle East, North Africa, Afghanistan & Pakistan",Libya,Upper middle,34.75125,23.44166666666667,26.727500000000003,22.565833333333337,22.230833333333337,23.414583333333336,23.549583333333334,23.497499999999995,33.064166666666665,34.75125,11.309583333333329
"Middle East, North Africa, Afghanistan & Pakistan","Yemen, Rep.",Low,37.43583333333333,39.09875,43.60458333333334,39.723333333333336,33.59458333333334,29.086666666666673,28.31541666666667,32.91791666666667,37.694583333333334,37.43583333333333,-1.6629166666666748
"Middle East, North Africa, Afghanistan & Pakistan",Djibouti,Lower middle,38.107916666666675,23.963750000000005,29.873333333333346,37.105,38.27625,39.95708333333333,46.70208333333334,44.67666666666667,39.580000000000005,38.107916666666675,14.14416666666667
"Middle East, North Africa, Afghanistan & Pakistan",Bahrain,High,51.96125000000001,42.49875,44.80833333333333,50.95750000000001,50.940000000000005,54.34583333333333,54.82,54.96333333333333,51.579166666666666,51.96125000000001,9.462500000000006
"Middle East, North Africa, Afghanistan & Pakistan",Iraq,Upper middle,53.98333333333334,36.79416666666667,34.03666666666667,31.81125,35.965,40.837916666666665,53.52708333333334,51.66666666666667,54.11416666666666,53.98333333333334,17.189166666666672
"Middle East, North Africa, Afghanistan & Pakistan",Afghanistan,Low,54.38625,39.72625,45.08125,52.34833333333333,51.929583333333326,55.559999999999995,59.1775,58.98833333333333,56.749583333333334,54.38625,14.659999999999997
